Iteration Agents Items Duration Price_Rise_Steps Tranfer_Steps
80397 19 21 6974 7 7
80398 15 4 609 0 1
80399 8 18 5178 8 8
80400 15 12 68889 8 4
80401 12 16 17013 15 8
80402 8 40 151477 10 10
80403 20 23 68992 23 19
80404 3 19 520 1 1
80405 1 14 115 0 0
80406 17 6 480 0 0
80407 18 25 13149 15 8
80408 9 27 24226 12 9
80409 16 14 6443 11 5
80410 10 40 95631 25 16
80411 2 2 198 0 1
80412 14 25 50000 15 8
80413 3 14 3300 3 1
80414 6 40 6398 5 6
80415 1 24 186 0 0
80416 4 6 671 1 3
80417 6 22 3648 9 4
80418 10 34 61008 10 11
80419 8 31 11612 14 15
80420 4 17 62972 6 4
80421 14 40 68534 20 17
80422 13 10 4282 5 2
80423 3 27 4676 7 5
80424 1 37 222 0 0
80425 2 34 520 1 0
80426 7 39 4823 10 6
80427 9 24 37839 5 6
80428 18 29 95156 42 15
80429 11 10 4878 8 5
80430 9 38 83562 14 11
80431 13 29 75586 34 14
80432 14 37 61354 24 12
80433 9 32 69953 13 8
80434 4 26 2884 4 2
80435 2 20 1048 2 2
80436 13 19 9507 11 3
80437 11 9 3211 4 2
80438 9 28 56239 17 9
80439 7 18 5738 13 8
80440 15 15 49729 7 11
80441 9 6 555 0 2
80442 19 14 8442 6 4
80443 13 9 5931 4 3
80444 12 3 315 0 0
80445 11 7 2233 3 1
80446 9 22 50124 19 11
80447 4 38 4033 7 6
80448 17 2 497 0 0
80449 16 32 39683 22 14
80450 1 14 211 0 0
80451 17 15 8415 1 5
80452 9 36 38881 15 16
80453 7 20 4985 13 9
80454 4 25 13289 5 5
80455 15 2 43743 0 0
80456 12 18 4629 10 6
80457 9 13 6783 8 2
80458 12 40 70317 22 10
80459 4 31 2092 3 4
80460 19 9 4361 1 2
80461 14 27 44268 18 9
80462 3 21 2334 5 3
80463 13 23 15329 5 4
80464 10 22 50822 14 11
80465 3 34 2105 4 2
80466 16 10 5805 2 3
80467 16 31 66831 25 20
80468 19 38 40564 18 18
80469 8 16 4305 9 6
80470 16 12 5547 5 5
80471 13 21 78287 16 6
80472 19 16 53885 13 12
80473 1 20 230 0 0
80474 10 12 4547 5 4
80475 12 4 506 0 0
80476 18 25 62010 25 13
80477 2 38 1431 2 1
80478 18 9 3654 2 2
80479 8 30 43837 16 9
80480 1 1 160 0 0
80481 5 19 2019 3 2
80482 18 8 2053 1 2
80483 5 23 4571 4 4
80484 20 32 107831 22 8
80485 1 25 171 0 0
80486 10 1 385 0 0
80487 17 23 35830 19 11
80488 1 29 300 0 0
80489 12 36 57110 23 16
80490 15 25 68913 26 14
80491 19 28 15551 15 6
80492 5 1 169 0 0
80493 6 39 73766 7 8
80494 9 19 10304 14 7
80495 2 4 124 0 0
80496 7 28 6799 13 10
80497 11 15 33313 5 4
80498 1 39 251 0 0
80499 16 26 11729 17 9
80500 2 5 466 2 2
80501 5 10 1111 4 4
80502 12 3 97032 0 1
80503 17 39 66428 36 16
80504 15 32 49938 26 10
80505 19 4 503 0 0
80506 10 9 5321 9 4
80507 19 11 44772 2 4
80508 10 5 711 0 2
80509 3 34 755 1 2
